trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
729,False,"{'e': 0.0006823280527563766, 'a': 0.4}",20,15,8.145895799621028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'e': 0.0006755387751938444, 'a': 0.4}",25,16,15.309320373275105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'e': 0.0006688170520717817, 'a': 0.4}",20,3,29.94555278847513,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'e': 0.0006621622112122764, 'a': 0.4}",25,13,27.01838557304112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'e': 0.0006555735871256958, 'a': 0.4}",20,5,25.392424400034688,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'e': 0.0006490505209441411, 'a': 0.4}",25,15,14.98983460777767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'e': 0.0006425923603555573, 'a': 0.4}",30,14,27.715946648405264,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'e': 0.0006361984595385052, 'a': 0.4}",30,16,28.09312812291675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'e': 0.000629868179097574, 'a': 0.4}",25,5,34.67994506431226,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'e': 0.0006236008859994445, 'a': 0.4}",25,15,17.223484358538357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'e': 0.0006173959535095834, 'a': 0.4}",25,14,17.104016205482328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'e': 0.0006112527611295723, 'a': 0.4}",20,8,17.290145196055335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'e': 0.0006051706945350532, 'a': 0.4}",30,18,21.35564531530322,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
